country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,loss_per_user,cluster_id,risk_profile
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63.0,104.15575378733499,2,Critical High-Impact Incidents
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71.0,210.1290372718027,2,Critical High-Impact Incidents
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20.0,63.78993059853605,0,High-Impact Rapid-Response Incidents
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7.0,62.85263604926288,0,High-Impact Rapid-Response Incidents
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68.0,91.78691521459709,2,Critical High-Impact Incidents
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25.0,344.4588202706162,0,High-Impact Rapid-Response Incidents
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34.0,77.12249166400007,0,High-Impact Rapid-Response Incidents
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66.0,65.08855582088175,2,Critical High-Impact Incidents
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47.0,24.174757142509335,1,Widespread Low-Loss Incidents
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58.0,100.79789831862574,2,Critical High-Impact Incidents
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29.0,179.6120929761483,0,High-Impact Rapid-Response Incidents
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27.0,42.14959685827483,0,High-Impact Rapid-Response Incidents
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37.0,52.40018929911317,2,Critical High-Impact Incidents
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35.0,97.31625866751584,0,High-Impact Rapid-Response Incidents
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64.0,52.057016583212075,2,Critical High-Impact Incidents
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36.0,532.4160312611248,3,Concentrated High-Cost Incidents
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67.0,15.338325346582636,1,Widespread Low-Loss Incidents
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56.0,115.6619204796356,2,Critical High-Impact Incidents
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28.0,24.22019109920943,1,Widespread Low-Loss Incidents
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6.0,139.22416427305507,0,High-Impact Rapid-Response Incidents
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43.0,53.84862829992654,2,Critical High-Impact Incidents
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11.0,67.72121179694338,0,High-Impact Rapid-Response Incidents
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30.0,311.5696269369022,0,High-Impact Rapid-Response Incidents
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32.0,109.69765992651008,1,Widespread Low-Loss Incidents
